Sales_rev,Active_kwh_month,Kwh
1500,93.6,2.73
1500,93.6,2.73
3500,105.3,2.73
3500,105.3,2.73
3500,105.3,2.73
3500,105.3,2.73
3500,105.3,2.73
3500,105.3,2.73
3500,105.3,2.73
3500,105.3,2.73
3500,105.3,2.73
3500,105.3,2.73
3500,105.3,2.73
3500,105.3,2.73
3500,105.3,2.73
3500,105.3,2.73
3500,93.6,2.73
3500,93.6,2.73
3500,93.6,2.73
3500,93.6,2.73
3500,93.6,2.73
3500,93.6,2.73
3500,93.6,2.73
3500,93.6,2.73
3500,93.6,2.73
3500,93.6,2.73
3500,93.6,2.73
3500,93.6,2.73
3500,93.6,2.73
3500,93.6,2.73
3500,93.6,2.73
3500,93.6,2.73
3500,93.6,2.73
2500,105.3,2.73
2500,105.3,2.73
2500,105.3,2.73
2500,105.3,2.73
2500,105.3,2.73
2500,105.3,2.73
2500,105.3,2.73
2500,105.3,2.73
2500,105.3,2.73
2500,105.3,2.73
2500,105.3,2.73
2500,105.3,2.73
2500,105.3,2.73
2500,105.3,2.73
2500,93.6,2.73
2500,93.6,2.73
2500,93.6,2.73
2500,93.6,2.73
2500,93.6,2.73
2500,93.6,2.73
2500,93.6,2.73
2500,93.6,2.73
2500,93.6,2.73
2500,93.6,2.73
2500,93.6,2.73
2500,93.6,2.73
2500,93.6,2.73
2500,93.6,2.73
2500,93.6,2.73
2500,93.6,2.73
2500,93.6,2.73
4500,105.3,2.73
4500,105.3,2.73
4500,105.3,2.73
4500,105.3,2.73
4500,105.3,2.73
4500,105.3,2.73
4500,105.3,2.73
4500,105.3,2.73
4500,105.3,2.73
4500,105.3,2.73
4500,105.3,2.73
4500,105.3,2.73
4500,105.3,2.73
4500,105.3,2.73
4500,93.6,2.73
4500,93.6,2.73
4500,93.6,2.73
4500,93.6,1.95
4500,93.6,1.95
4500,93.6,1.95
4500,93.6,1.95
4500,93.6,1.95
4500,93.6,1.95
4500,93.6,1.95
4500,93.6,1.95
4500,93.6,1.95
4500,93.6,1.95
4500,93.6,1.95
4500,93.6,1.95
4500,93.6,1.95
4500,93.6,1.95
1500,105.3,1.95
1500,105.3,1.95
1500,105.3,1.95
1500,105.3,1.95
1500,105.3,1.95
1500,105.3,1.95
1500,105.3,1.95
1500,105.3,1.95
1500,105.3,1.95
1500,105.3,1.95
1500,105.3,1.95
1500,105.3,1.95
1500,105.3,1.95
1500,105.3,1.95
1500,93.6,1.95
1500,93.6,1.95
1500,93.6,1.95
1500,93.6,1.95
1500,93.6,1.95
1500,93.6,1.95
1500,93.6,1.95
1500,93.6,1.95
1500,93.6,1.95
1500,93.6,1.95
1500,93.6,1.95
1500,93.6,1.95
1500,93.6,1.95
1500,93.6,1.95
1500,93.6,1.95
1500,93.6,1.95
1500,93.6,1.95
2000,105.3,1.95
2000,105.3,1.95
2000,105.3,1.95
2000,105.3,1.95
2000,105.3,1.95
2000,105.3,1.95
2000,105.3,1.95
2000,105.3,1.95
2000,105.3,1.95
2000,105.3,1.95
2000,105.3,1.95
2000,105.3,1.95
2000,105.3,1.95
2000,105.3,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2500,105.3,1.95
2500,105.3,1.95
2500,105.3,1.95
2500,105.3,1.95
2500,105.3,1.95
2500,105.3,1.95
2500,105.3,1.95
2500,105.3,1.95
2500,105.3,1.95
2500,105.3,1.95
2500,105.3,1.95
2500,105.3,1.95
2500,105.3,1.95
2500,105.3,3.12
2500,93.6,3.12
2500,93.6,3.12
2500,93.6,3.12
2500,93.6,3.12
2500,93.6,3.12
2500,93.6,3.12
2500,93.6,3.12
2500,93.6,3.12
2500,93.6,3.12
2500,93.6,3.12
2500,93.6,3.12
2500,93.6,3.12
2500,93.6,3.12
2500,93.6,3.12
2500,93.6,3.12
2500,93.6,3.12
2500,93.6,3.12
5000,105.3,3.12
5000,105.3,3.12
5000,105.3,3.12
5000,105.3,3.12
5000,105.3,3.12
5000,105.3,3.12
5000,105.3,3.12
5000,105.3,3.12
5000,105.3,3.12
5000,105.3,3.12
5000,105.3,3.12
5000,105.3,3.12
5000,105.3,3.12
5000,105.3,3.12
5000,93.6,3.12
5000,93.6,3.12
5000,93.6,3.12
5000,93.6,3.12
5000,93.6,3.12
5000,93.6,3.12
5000,93.6,3.12
5000,93.6,3.12
5000,93.6,3.12
5000,93.6,3.12
5000,93.6,3.12
5000,93.6,3.12
5000,93.6,3.12
5000,93.6,3.12
5000,93.6,3.12
5000,93.6,3.12
5000,93.6,3.12
2500,105.3,3.12
2500,105.3,3.12
2500,105.3,3.12
2500,105.3,3.12
2500,105.3,3.12
2500,105.3,3.12
2500,105.3,3.12
2500,105.3,3.12
2500,105.3,3.12
2500,105.3,3.12
2500,105.3,3.12
2500,105.3,3.12
2500,105.3,3.12
2500,105.3,3.12
2500,93.6,3.12
2500,93.6,3.12
2500,93.6,3.12
2500,93.6,3.12
2500,93.6,3.12
2500,93.6,3.12
2500,93.6,3.12
2500,93.6,3.12
2500,93.6,3.12
2500,93.6,3.12
2500,93.6,3.12
2500,93.6,3.12
2500,93.6,3.12
2500,93.6,3.12
2500,93.6,3.12
2500,93.6,3.12
2500,93.6,3.12
14000,105.3,3.12
14000,105.3,3.12
14000,105.3,3.12
14000,105.3,3.12
14000,105.3,3.12
14000,105.3,3.12
14000,105.3,3.12
14000,105.3,3.12
14000,105.3,3.12
14000,105.3,3.12
14000,105.3,3.12
14000,105.3,2.34
14000,105.3,2.34
14000,105.3,2.34
14000,93.6,2.34
14000,93.6,2.34
14000,93.6,2.34
14000,93.6,2.34
14000,93.6,2.34
14000,93.6,2.34
14000,93.6,2.34
14000,93.6,2.34
14000,93.6,2.34
14000,93.6,2.34
14000,93.6,2.34
14000,93.6,2.34
14000,93.6,2.34
14000,93.6,2.34
14000,93.6,2.34
14000,93.6,2.34
14000,93.6,2.34
9000,105.3,2.34
9000,105.3,2.34
9000,105.3,2.34
9000,105.3,2.34
9000,105.3,2.34
9000,105.3,2.34
9000,105.3,2.34
9000,105.3,2.34
9000,105.3,2.34
9000,105.3,2.34
9000,105.3,2.34
9000,105.3,2.34
9000,105.3,2.34
9000,105.3,2.34
9000,93.6,2.34
9000,93.6,2.34
9000,93.6,2.34
9000,93.6,2.34
9000,93.6,2.34
9000,93.6,2.34
9000,93.6,2.34
9000,93.6,2.34
9000,93.6,2.34
9000,93.6,2.34
9000,93.6,2.34
9000,93.6,2.34
9000,93.6,2.34
9000,93.6,2.34
9000,93.6,2.34
9000,93.6,2.34
9000,93.6,2.34
2000,105.3,2.34
2000,105.3,2.34
2000,105.3,2.34
2000,105.3,2.34
2000,105.3,2.34
2000,105.3,2.34
2000,105.3,2.34
2000,105.3,2.34
2000,105.3,2.34
2000,105.3,2.34
2000,105.3,2.34
2000,105.3,2.34
2000,105.3,2.34
2000,105.3,2.34
2000,93.6,2.34
2000,93.6,2.34
2000,93.6,2.34
2000,93.6,2.34
2000,93.6,2.34
2000,93.6,2.34
2000,93.6,2.34
2000,93.6,2.34
2000,93.6,2.34
2000,93.6,2.34
2000,93.6,2.34
2000,93.6,2.34
2000,93.6,2.34
2000,93.6,2.34
2000,93.6,2.34
2000,93.6,2.34
2000,93.6,2.34
12500,105.3,2.34
12500,105.3,2.34
12500,105.3,2.34
12500,105.3,2.34
12500,105.3,2.34
12500,105.3,2.34
12500,105.3,2.34
12500,105.3,2.34
12500,105.3,2.34
12500,105.3,2.34
12500,105.3,2.73
12500,105.3,2.73
12500,105.3,2.73
12500,105.3,2.73
12500,93.6,2.73
12500,93.6,2.73
12500,93.6,2.73
12500,93.6,2.73
12500,93.6,2.73
12500,93.6,2.73
12500,93.6,2.73
12500,93.6,2.73
12500,93.6,2.73
12500,93.6,2.73
12500,93.6,2.73
12500,93.6,2.73
12500,93.6,2.73
12500,93.6,2.73
12500,93.6,2.73
12500,93.6,2.73
12500,93.6,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,93.6,2.73
2000,93.6,2.73
2000,93.6,2.73
2000,93.6,2.73
2000,93.6,2.73
2000,93.6,2.73
2000,93.6,2.73
2000,93.6,2.73
2000,93.6,2.73
2000,93.6,2.73
2000,93.6,2.73
2000,93.6,2.73
2000,93.6,2.73
2000,93.6,2.73
2000,93.6,2.73
2000,93.6,2.73
2000,93.6,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,93.6,2.73
2000,93.6,2.73
2000,93.6,2.73
2000,93.6,2.73
2000,93.6,2.73
2000,93.6,2.73
2000,93.6,2.73
2000,93.6,2.73
2000,93.6,2.73
2000,93.6,2.73
2000,93.6,2.73
2000,93.6,2.73
2000,93.6,2.73
2000,93.6,2.73
2000,93.6,2.73
2000,93.6,2.73
2000,93.6,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,2.73
2000,105.3,1.95
2000,105.3,1.95
2000,105.3,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,105.3,1.95
2000,105.3,1.95
2000,105.3,1.95
2000,105.3,1.95
2000,105.3,1.95
2000,105.3,1.95
2000,105.3,1.95
2000,105.3,1.95
2000,105.3,1.95
2000,105.3,1.95
2000,105.3,1.95
2000,105.3,1.95
2000,105.3,1.95
2000,105.3,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
2000,93.6,1.95
60000,105.3,1.95
60000,105.3,1.95
60000,105.3,1.95
60000,105.3,1.95
60000,105.3,1.95
60000,105.3,1.95
60000,105.3,1.95
60000,105.3,1.95
60000,105.3,1.95
60000,105.3,1.95
60000,105.3,1.95
60000,105.3,1.95
60000,105.3,1.95
60000,105.3,1.95
60000,93.6,1.95
60000,93.6,1.95
60000,93.6,1.95
60000,93.6,1.95
60000,93.6,1.95
60000,93.6,1.95
60000,93.6,1.95
60000,93.6,1.95
60000,93.6,1.95
60000,93.6,1.95
60000,93.6,1.95
60000,93.6,1.95
60000,93.6,1.95
60000,93.6,1.95
60000,93.6,1.95
60000,93.6,1.95
60000,93.6,1.95
1500,105.3,1.95
1500,105.3,1.95
1500,105.3,1.95
1500,105.3,1.95
1500,105.3,1.95
1500,105.3,1.95
1500,105.3,1.95
1500,105.3,3.12
1500,105.3,3.12
1500,105.3,3.12
1500,105.3,3.12
1500,105.3,3.12
1500,105.3,3.12
1500,105.3,3.12
1500,93.6,3.12
1500,93.6,3.12
1500,93.6,3.12
1500,93.6,3.12
1500,93.6,
1500,93.6,
1500,93.6,
1500,93.6,
1500,93.6,
1500,93.6,
1500,93.6,
1500,93.6,
1500,93.6,
1500,93.6,
1500,93.6,
1500,93.6,
1500,93.6,
500,105.3,
500,105.3,
500,105.3,
500,105.3,
500,105.3,
500,105.3,
500,105.3,
500,105.3,
500,105.3,
500,105.3,
500,105.3,
500,105.3,
500,105.3,
500,105.3,
500,93.6,
500,93.6,
500,93.6,
500,93.6,
500,93.6,
500,93.6,
500,93.6,
500,93.6,
500,93.6,
500,93.6,
500,93.6,
500,93.6,
500,93.6,
500,93.6,
500,93.6,
500,93.6,
500,93.6,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,93.6,
3000,93.6,
3000,93.6,
3000,93.6,
3000,93.6,
3000,93.6,
3000,93.6,
3000,93.6,
3000,93.6,
3000,93.6,
3000,93.6,
3000,93.6,
3000,93.6,
3000,93.6,
3000,93.6,
3000,93.6,
3000,93.6,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,93.6,
2000,93.6,
2000,93.6,
2000,93.6,
2000,93.6,
2000,93.6,
2000,93.6,
2000,93.6,
2000,93.6,
2000,93.6,
2000,93.6,
2000,93.6,
2000,93.6,
2000,93.6,
2000,93.6,
2000,93.6,
2000,93.6,
23000,105.3,
23000,105.3,
23000,105.3,
23000,105.3,
23000,105.3,
23000,105.3,
23000,105.3,
23000,105.3,
23000,105.3,
23000,105.3,
23000,105.3,
23000,105.3,
23000,105.3,
23000,105.3,
23000,93.6,
23000,93.6,
23000,93.6,
23000,93.6,
23000,93.6,
23000,93.6,
23000,93.6,
23000,93.6,
23000,93.6,
23000,93.6,
23000,93.6,
23000,93.6,
23000,93.6,
23000,93.6,
23000,93.6,
23000,93.6,
23000,93.6,
19000,105.3,
19000,105.3,
19000,105.3,
19000,105.3,
19000,105.3,
19000,105.3,
19000,105.3,
19000,105.3,
19000,105.3,
19000,105.3,
19000,105.3,
19000,105.3,
19000,105.3,
19000,105.3,
19000,93.6,
19000,93.6,
19000,93.6,
19000,93.6,
19000,93.6,
19000,93.6,
19000,93.6,
19000,93.6,
19000,93.6,
19000,93.6,
19000,93.6,
19000,93.6,
19000,93.6,
19000,93.6,
19000,93.6,
19000,93.6,
19000,93.6,
3000,93.6,
3000,93.6,
3000,93.6,
3000,93.6,
3000,93.6,
3000,93.6,
3000,93.6,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4500,93.6,
4500,93.6,
4500,93.6,
4500,93.6,
4500,93.6,
4500,93.6,
4500,93.6,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
32500,93.6,
32500,93.6,
32500,93.6,
32500,93.6,
32500,93.6,
32500,93.6,
32500,93.6,
32500,105.3,
32500,105.3,
32500,105.3,
32500,105.3,
32500,105.3,
32500,105.3,
32500,105.3,
32500,105.3,
32500,105.3,
32500,105.3,
32500,105.3,
32500,105.3,
32500,105.3,
32500,105.3,
32500,105.3,
32500,105.3,
32500,105.3,
32500,105.3,
32500,105.3,
32500,105.3,
32500,105.3,
1500,93.6,
1500,93.6,
1500,93.6,
1500,93.6,
1500,93.6,
1500,93.6,
1500,93.6,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
2500,93.6,
2500,93.6,
2500,93.6,
2500,93.6,
2500,93.6,
2500,93.6,
2500,93.6,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
3500,93.6,
3500,93.6,
3500,93.6,
3500,93.6,
3500,93.6,
3500,93.6,
3500,93.6,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,93.6,
3500,93.6,
3500,93.6,
3500,93.6,
3500,93.6,
3500,93.6,
3500,93.6,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
3500,105.3,
2000,93.6,
2000,93.6,
2000,93.6,
2000,93.6,
2000,93.6,
2000,93.6,
2000,93.6,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
1500,93.6,
1500,93.6,
1500,93.6,
1500,93.6,
1500,93.6,
1500,93.6,
1500,93.6,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
2000,93.6,
2000,93.6,
2000,93.6,
2000,93.6,
2000,93.6,
2000,93.6,
2000,93.6,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
2000,105.3,
17000,93.6,
17000,93.6,
17000,93.6,
17000,93.6,
17000,93.6,
17000,93.6,
17000,93.6,
17000,105.3,
17000,105.3,
17000,105.3,
17000,105.3,
17000,105.3,
17000,105.3,
17000,105.3,
17000,105.3,
17000,105.3,
17000,105.3,
17000,105.3,
17000,105.3,
17000,105.3,
17000,105.3,
17000,105.3,
17000,105.3,
17000,105.3,
17000,105.3,
17000,105.3,
17000,105.3,
17000,105.3,
17500,93.6,
17500,93.6,
17500,93.6,
17500,93.6,
17500,93.6,
17500,93.6,
17500,93.6,
17500,105.3,
17500,105.3,
17500,105.3,
17500,105.3,
17500,105.3,
17500,105.3,
17500,105.3,
17500,105.3,
17500,105.3,
17500,105.3,
17500,105.3,
17500,105.3,
17500,105.3,
17500,105.3,
17500,105.3,
17500,105.3,
17500,105.3,
17500,105.3,
17500,105.3,
17500,105.3,
17500,105.3,
1500,93.6,
1500,93.6,
1500,93.6,
1500,93.6,
1500,93.6,
1500,93.6,
1500,93.6,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
1500,105.3,
2500,93.6,
2500,93.6,
2500,93.6,
2500,93.6,
2500,93.6,
2500,93.6,
2500,93.6,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
2500,105.3,
3000,93.6,
3000,93.6,
3000,93.6,
3000,93.6,
3000,93.6,
3000,93.6,
3000,93.6,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
3000,105.3,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,93.6,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4000,105.3,
4500,93.6,
4500,93.6,
4500,93.6,
4500,93.6,
4500,93.6,
4500,93.6,
4500,93.6,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,105.3,
4500,93.6,
4500,93.6,
4500,93.6,
4500,93.6,
4500,93.6,
4500,93.6,
4500,93.6,
4500,105.3,
4500,105.3,
